,response,time,shapiro.W,shapiro.p,Plastic,Nitrogen,Plastic_Nitrogen,Plastic.sig,Nitrogen.sig,Plastic_Nitrogen.sig
1,cumulative_CO2,1,0.933752248,0.021390943,"F=3039.8, p=0","F=23.01, p=0","F=27.16, p=0",***,***,***
2,cumulative_CO2,2,0.967216902,0.29274372,"F=7379.47, p=0","F=159.9, p=0","F=280.14, p=0",***,***,***
3,cumulative_CO2,3,0.946650227,0.058189423,"F=9019.98, p=0","F=0.95, p=0.337","F=171.1, p=0",***,N.S.,***
4,cumulative_CO2,4,0.973925973,0.474673367,"F=8035.67, p=0","F=549.52, p=0","F=2.49, p=0.064",***,***,#
5,daily_CO2,1,0.971181974,0.392003902,"F=3461.42, p=0","F=219.47, p=0","F=285.25, p=0",***,***,***
6,daily_CO2,2,0.973720826,0.468110772,"F=5818.42, p=0","F=9.79, p=0.004","F=151.79, p=0",***,**,***
7,daily_CO2,3,0.95279863,0.094680049,"F=11197.69, p=0","F=1591.32, p=0","F=23.96, p=0",***,***,***
8,daily_CO2,4,0.966762265,0.282858451,"F=336.57, p=0","F=13.19, p=0.001","F=4.07, p=0.009",***,**,**
9,cumulative_CO2_plastic,1,0.879256729,0.000502627,"F=2748.38, p=0","F=14.1, p=0.001","F=19.33, p=0",***,***,***
10,cumulative_CO2_plastic,2,0.905832681,0.002838266,"F=5396.39, p=0","F=87.21, p=0","F=99.12, p=0",***,***,***
11,cumulative_CO2_plastic,3,0.889731034,0.00097387,"F=5449.86, p=0","F=53.52, p=0","F=55.57, p=0",***,***,***
12,cumulative_CO2_plastic,4,0.863334997,0.00019282,"F=4965.33, p=0","F=4.45, p=0.043","F=3.28, p=0.024",***,*,*
13,daily_CO2_plastic,1,0.88942143,0.000954656,"F=715.8, p=0","F=25.42, p=0","F=23.66, p=0",***,***,***
14,daily_CO2_plastic,2,0.812973682,1.28E-05,"F=1258.23, p=0","F=24.65, p=0","F=23.58, p=0",***,***,***
15,daily_CO2_plastic,3,0.784534366,3.28E-06,"F=1424.33, p=0","F=1.18, p=0.285","F=0.86, p=0.5",***,N.S.,N.S.
16,daily_CO2_plastic,4,0.870931227,0.000302488,"F=239.14, p=0","F=11.37, p=0.002","F=1.65, p=0.189",***,**,N.S.
17,cumulative_CO2_native,1,0.94240836,0.041711492,"F=408.08, p=0","F=0.73, p=0.4","F=1.33, p=0.28",***,N.S.,N.S.
18,cumulative_CO2_native,2,0.967821868,0.306361722,"F=444.62, p=0","F=16.77, p=0","F=0.59, p=0.673",***,***,N.S.
19,cumulative_CO2_native,3,0.965209808,0.251289438,"F=463.14, p=0","F=198.47, p=0","F=1.92, p=0.133",***,***,N.S.
20,cumulative_CO2_native,4,0.981030683,0.727719166,"F=253.63, p=0","F=407.67, p=0","F=0.72, p=0.587",***,***,N.S.
21,daily_CO2_native,1,0.965824384,0.263389652,"F=267.6, p=0","F=0.07, p=0.799","F=5.7, p=0.002",***,N.S.,**
22,daily_CO2_native,2,0.984511098,0.849080194,"F=260.06, p=0","F=492.52, p=0","F=16.27, p=0",***,***,***
23,daily_CO2_native,3,0.966215382,0.271356767,"F=309.65, p=0","F=1503.43, p=0","F=7.05, p=0",***,***,***
24,daily_CO2_native,4,0.963565275,0.221352099,"F=21.56, p=0","F=2.13, p=0.155","F=2.04, p=0.114",***,N.S.,N.S.
25,cumulative_priming,1,0.888622564,0.007415718,"F=102.58, p=0","F=3.24, p=0.088","F=1.84, p=0.175",***,#,N.S.
26,cumulative_priming,2,0.963318113,0.337622537,"F=452.65, p=0","F=2.35, p=0.139","F=0.52, p=0.671",***,N.S.,N.S.
27,cumulative_priming,3,0.959404684,0.264542846,"F=490.72, p=0","F=1.25, p=0.275","F=2.2, p=0.114",***,N.S.,N.S.
28,cumulative_priming,4,0.964115408,0.354447555,"F=339.51, p=0","F=0.48, p=0.495","F=1, p=0.408",***,N.S.,N.S.
29,priming,1,0.959875957,0.272535974,"F=255.82, p=0","F=7.64, p=0.011","F=5.72, p=0.004",***,*,**
30,priming,2,0.978414173,0.752324712,"F=270.67, p=0","F=12.3, p=0.002","F=17.71, p=0",***,**,***
31,priming,3,0.974345075,0.626767287,"F=466.16, p=0","F=0.02, p=0.888","F=11.96, p=0",***,N.S.,***
32,priming,4,0.9621746,0.314658459,"F=29.63, p=0","F=19.15, p=0","F=1.56, p=0.226",***,***,N.S.
33,cumulative_priming_relative,1,0.927762971,0.060922954,"F=112.16, p=0","F=4.08, p=0.058","F=1.85, p=0.173",***,#,N.S.
34,cumulative_priming_relative,2,0.970234335,0.505892313,"F=412.26, p=0","F=6.72, p=0.016","F=1.11, p=0.366",***,*,N.S.
35,cumulative_priming_relative,3,0.968568834,0.460864723,"F=452.6, p=0","F=0.53, p=0.472","F=0.58, p=0.635",***,N.S.,N.S.
36,cumulative_priming_relative,4,0.96241022,0.319278812,"F=206.22, p=0","F=1.2, p=0.285","F=8.74, p=0",***,N.S.,***
37,priming_relative,1,0.955814458,0.210314162,"F=258.95, p=0","F=13.34, p=0.001","F=8.63, p=0",***,**,***
38,priming_relative,2,0.991477336,0.995486823,"F=249.65, p=0","F=1.07, p=0.312","F=6, p=0.003",***,N.S.,**
39,priming_relative,3,0.973668214,0.60612835,"F=449.21, p=0","F=41.32, p=0","F=10.29, p=0",***,***,***
40,priming_relative,4,0.968169744,0.450479929,"F=29.15, p=0","F=19.67, p=0","F=1.53, p=0.232",***,***,N.S.
41,cumulative_CO2_std,1,0.938737498,0.068943943,"F=4714.71, p=0","F=34.12, p=0","F=34.95, p=0",***,***,***
42,cumulative_CO2_std,2,0.950854013,0.152395932,"F=10860.41, p=0","F=270.67, p=0","F=359.12, p=0",***,***,***
43,cumulative_CO2_std,3,0.975605858,0.66564448,"F=9797.42, p=0","F=1.81, p=0.191","F=105.2, p=0",***,N.S.,***
44,cumulative_CO2_std,4,0.953803976,0.184671426,"F=17601.64, p=0","F=497.07, p=0","F=15.73, p=0",***,***,***
45,cumulative_CO2_plastic_std,1,0.961995194,0.311178853,"F=3877.68, p=0","F=21.62, p=0","F=30.09, p=0",***,***,***
46,cumulative_CO2_plastic_std,2,0.968277219,0.453260677,"F=7659.49, p=0","F=136.14, p=0","F=150.58, p=0",***,***,***
47,cumulative_CO2_plastic_std,3,0.961666178,0.304883337,"F=8378.64, p=0","F=89.33, p=0","F=90.33, p=0",***,***,***
48,cumulative_CO2_plastic_std,4,0.94492798,0.103374478,"F=7390.47, p=0","F=7.78, p=0.01","F=4.17, p=0.016",***,*,*
49,cumulative_CO2_native_std,1,0.938001926,0.065715847,"F=918.15, p=0","F=1.72, p=0.202","F=1.48, p=0.244",***,N.S.,N.S.
50,cumulative_CO2_native_std,2,0.974908251,0.644078882,"F=1064.94, p=0","F=8.41, p=0.008","F=0.49, p=0.695",***,**,N.S.
51,cumulative_CO2_native_std,3,0.97048991,0.513032025,"F=1306.09, p=0","F=143.19, p=0","F=6.08, p=0.003",***,***,**
52,cumulative_CO2_native_std,4,0.970696393,0.518842622,"F=1368.26, p=0","F=359.33, p=0","F=4.29, p=0.015",***,***,*
53,SOC,1,0.96102192,0.181507247,"F=142.46, p=0","F=1.55, p=0.223","F=1.82, p=0.151",***,N.S.,N.S.
54,SOC,2,0.960583727,0.17536811,"F=423.66, p=0","F=0.03, p=0.875","F=0.52, p=0.721",***,N.S.,N.S.
