,Plastic,response,SE,df,lower.CL,upper.CL,.group,resp,timepoint
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NONE,44.83080822,1.003370378,30,42.80506857,46.90337994,C,cumulative_CO2,5
3,LDPE,46.34500658,1.020174503,30,44.28494832,48.4518969,C,cumulative_CO2,5
2,PBS,86.3026858,1.392147163,30,83.48295803,89.16924564,B,cumulative_CO2,5
4,PLA,47.68635516,1.03483249,30,45.5963613,49.82318108,C,cumulative_CO2,5
11,PLA/PHA,267.0341036,2.448817137,30,262.0563679,272.0586714,A,cumulative_CO2,5
51,NONE,113.5878531,2.365291913,30,108.7572826,118.4184236,C,cumulative_CO2,15
31,LDPE,116.8011599,2.365291913,30,111.9705894,121.6317304,C,cumulative_CO2,15
21,PBS,179.0059645,2.365291913,30,174.175394,183.836535,B,cumulative_CO2,15
41,PLA,118.5356236,2.365291913,30,113.705053,123.3661941,C,cumulative_CO2,15
12,PLA/PHA,582.232669,2.365291913,30,577.4020984,587.0632395,A,cumulative_CO2,15
52,NONE,202.331469,3.365378848,30,195.4584485,209.2044895,C,cumulative_CO2,30
32,LDPE,204.7978185,3.365378848,30,197.9247979,211.670839,C,cumulative_CO2,30
22,PBS,287.0187402,3.365378848,30,280.1457197,293.8917607,B,cumulative_CO2,30
42,PLA,210.234023,3.365378848,30,203.3610024,217.1070435,C,cumulative_CO2,30
13,PLA/PHA,936.4224631,3.365378848,30,929.5494426,943.2954836,A,cumulative_CO2,30
33,NONE,786.0227452,10.09701832,30,765.4018828,806.6436076,C,cumulative_CO2,193
53,LDPE,779.5007547,10.09701832,30,758.8798923,800.1216171,C,cumulative_CO2,193
14,PBS,936.5700522,10.09701832,30,915.9491898,957.1909146,B,cumulative_CO2,193
43,PLA,801.6885595,10.09701832,30,781.0676971,822.3094219,C,cumulative_CO2,193
23,PLA/PHA,2844.720993,10.09701832,30,2824.100131,2865.341856,A,cumulative_CO2,193
54,NONE,8.05273712,0.240290003,30,7.561999466,8.543474774,C,daily_CO2,5
24,LDPE,8.474729835,0.240290003,30,7.983992181,8.965467489,C,daily_CO2,5
44,PBS,12.26153867,0.240290003,30,11.77080102,12.75227633,B,daily_CO2,5
34,PLA,8.430862814,0.240290003,30,7.94012516,8.921600468,C,daily_CO2,5
15,PLA/PHA,40.68322367,0.240290003,30,40.19248601,41.17396132,A,daily_CO2,5
35,NONE,6.426085949,0.113886301,30,6.193499093,6.658672805,C,daily_CO2,15
55,LDPE,6.365422951,0.113886301,30,6.132836095,6.598009807,C,daily_CO2,15
16,PBS,8.053191215,0.113886301,30,7.820604359,8.285778071,B,daily_CO2,15
45,PLA,6.615023222,0.113886301,30,6.382436366,6.847610078,C,daily_CO2,15
25,PLA/PHA,26.22807601,0.113886301,30,25.99548915,26.46066287,A,daily_CO2,15
56,NONE,5.430731892,0.072100837,30,5.283482339,5.577981446,C,daily_CO2,30
36,LDPE,5.529387132,0.072100837,30,5.382137578,5.676636685,C,daily_CO2,30
26,PBS,6.647358092,0.072100837,30,6.500108539,6.794607646,B,daily_CO2,30
46,PLA,5.59286501,0.072100837,30,5.445615456,5.740114564,C,daily_CO2,30
17,PLA/PHA,22.82490609,0.072100837,30,22.67765653,22.97215564,A,daily_CO2,30
37,NONE,2.719009687,0.098904349,30,2.517020059,2.920999316,B,daily_CO2,193
57,LDPE,2.458745723,0.098904349,30,2.256756095,2.660735351,B,daily_CO2,193
18,PBS,2.84484364,0.098904349,30,2.642854012,3.046833268,B,daily_CO2,193
47,PLA,2.76755276,0.098904349,30,2.565563132,2.969542388,B,daily_CO2,193
27,PLA/PHA,6.74187758,0.098904349,30,6.539887952,6.943867208,A,daily_CO2,193
58,NONE,0,0,30,0,0.043302103,D,cumulative_CO2_plastic,5
