"Plastic","Nitrogen","Tube","Date","CO2Flux","CO2Flux_plastic","Day","daily_CO2","daily_CO2_plastic"
"NONE","N0",121,"03/06/2023",0.40478663937156,0,"1",9.71487934491745,0
"NONE","N0",126,"03/06/2023",0.376150300888237,0,"1",9.02760722131768,0
"NONE","N0",131,"03/06/2023",0.373456963208836,0,"1",8.96296711701207,0
"NONE","N0",136,"03/06/2023",0.434732308963528,0,"1",10.4335754151247,0
"LDPE","N0",122,"03/06/2023",0.39934615140346,0.0303165082666317,"1",9.58430763368304,0.727596198399161
"LDPE","N0",127,"03/06/2023",0.458575012025808,0.00568650134625475,"1",11.0058002886194,0.136476032310114
"LDPE","N0",132,"03/06/2023",0.451435228331791,0.0488421440613881,"1",10.834445479963,1.17221145747332
"LDPE","N0",137,"03/06/2023",0.425386796826221,0.00857174949351161,"1",10.2092831238293,0.205721987844279
"PBS","N0",123,"03/06/2023",1.22311182340029,0.480942745485271,"1",29.354683761607,11.5426258916465
"PBS","N0",128,"03/06/2023",1.26592917802278,0.511555420978709,"1",30.3823002725466,12.277330103489
"PBS","N0",133,"03/06/2023",1.33152352995599,0.467001630237352,"1",31.9565647189438,11.2080391256964
"PBS","N0",138,"03/06/2023",1.2510020263749,0.510155475049771,"1",30.0240486329975,12.2437314011945
"PLA/PHA","N0",124,"03/06/2023",3.4487734322901,2.22726156534256,"1",82.7705623749624,53.4542775682215
"PLA/PHA","N0",129,"03/06/2023",3.56164908281147,2.32873422195393,"1",85.4795779874753,55.8896213268944
"PLA/PHA","N0",134,"03/06/2023",3.55209342756167,2.38589725286246,"1",85.2502422614802,57.2615340686991
"PLA/PHA","N0",139,"03/06/2023",3.61932553409489,2.38213738377234,"1",86.8638128182773,57.1712972105363
"PLA","N0",125,"03/06/2023",0.45975627792767,0,"1",11.0341506702641,0
"PLA","N0",130,"03/06/2023",0.455037471265162,0,"1",10.9208993103639,0
"PLA","N0",135,"03/06/2023",0.451928621789212,0,"1",10.8462869229411,0
