"Tube","Date","Plastic","Nitrogen","CO2Flux","CO2Flux_plastic","Day","daily_CO2","daily_CO2_plastic","day","daily_CO2_native","priming","priming_relative"
121,2023-03-06,"NONE","N0",0.404786639371561,0,"1",9.71487934491745,0,1,9.71487934491745,NA,NA
121,2023-03-07,"NONE","N0",0.419923580454418,0,"2",10.078165930906,0,2,10.078165930906,NA,NA
121,2023-03-08,"NONE","N0",0.395749924336726,0,"3",9.49799818408143,0,3,9.49799818408143,NA,NA
121,2023-03-09,"NONE","N0",0.344348707405766,0,"4",8.26436897773837,0,4,8.26436897773837,NA,NA
121,2023-03-10,"NONE","N0",0.348922710888792,0,"5",8.374145061331,0,5,8.374145061331,NA,NA
121,2023-03-11,"NONE","N0",NA,NA,NA,7.98028205875039,0,6,7.98028205875039,NA,NA
121,2023-03-12,"NONE","N0",0.316100794007074,0,"7",7.58641905616978,0,7,7.58641905616978,NA,NA
121,2023-03-13,"NONE","N0",NA,NA,NA,7.51961641807775,0,8,7.51961641807775,NA,NA
121,2023-03-14,"NONE","N0",0.310533907499405,0,"9",7.45281377998572,0,9,7.45281377998572,NA,NA
121,2023-03-15,"NONE","N0",NA,NA,NA,7.42203757247192,0,10,7.42203757247192,NA,NA
121,2023-03-16,"NONE","N0",0.307969223539922,0,"11",7.39126136495812,0,11,7.39126136495812,NA,NA
121,2023-03-17,"NONE","N0",NA,NA,NA,7.44934795116007,0,12,7.44934795116007,NA,NA
121,2023-03-18,"NONE","N0",0.312809772390084,0,"13",7.50743453736201,0,13,7.50743453736201,NA,NA
121,2023-03-19,"NONE","N0",NA,NA,NA,7.39205272338832,0,14,7.39205272338832,NA,NA
121,2023-03-20,"NONE","N0",0.303194621225609,0,"15",7.27667090941462,0,15,7.27667090941462,NA,NA
121,2023-03-21,"NONE","N0",NA,NA,NA,7.10168990318877,0,16,7.10168990318877,NA,NA
121,2023-03-22,"NONE","N0",0.288612870706788,0,"17",6.92670889696292,0,17,6.92670889696292,NA,NA
121,2023-03-23,"NONE","N0",NA,NA,NA,6.97068853813555,0,18,6.97068853813555,NA,NA
121,2023-03-24,"NONE","N0",0.292277840804508,0,"19",7.01466817930818,0,19,7.01466817930818,NA,NA
121,2023-03-25,"NONE","N0",NA,NA,NA,7.00721194846284,0,20,7.00721194846284,NA,NA
121,2023-03-26,"NONE","N0",0.291656488234063,0,"21",6.99975571761751,0,21,6.99975571761751,NA,NA
121,2023-03-27,"NONE","N0",NA,NA,NA,6.81630133440974,0,22,6.81630133440974,NA,NA
121,2023-03-28,"NONE","N0",0.276368622966749,0,"23",6.63284695120197,0,23,6.63284695120197,NA,NA
121,2023-03-29,"NONE","N0",NA,NA,NA,6.64098330663009,0,24,6.64098330663009,NA,NA
121,2023-03-30,"NONE","N0",NA,NA,NA,6.64911966205821,0,25,6.64911966205821,NA,NA
121,2023-03-31,"NONE","N0",0.277385667395264,0,"26",6.65725601748633,0,26,6.65725601748633,NA,NA
121,2023-04-01,"NONE","N0",NA,NA,NA,6.62285631994418,0,27,6.62285631994418,NA,NA
121,2023-04-02,"NONE","N0",NA,NA,NA,6.58845662240203,0,28,6.58845662240203,NA,NA
121,2023-04-03,"NONE","N0",0.273085705202495,0,"29",6.55405692485988,0,29,6.55405692485988,NA,NA
121,2023-04-04,"NONE","N0",NA,NA,NA,6.62935139346786,0,30,6.62935139346786,NA,NA
